Period,"Manufacture of textiles, wearing apparel, leather and related products_No. (000)",Other manufacturing_No. (000),Foundation and superstructure_No. (000),"Decoration, repair and maintenance for buildings_No. (000)",Import and export trade_No. (000),Wholesale_No. (000),Retail_No. (000),Accommodation[3] and  food services_No. (000),Transportation and storage_No. (000),Postal and courier activities_No. (000),Information and communications_No. (000),Financing_No. (000),Insurance_No. (000),Real estate_No. (000),Professional and business services_No. (000),Public administration_No. (000),Education_No. (000),Human health and social work activities _No. (000),"Arts, entertainment and recreation_No. (000)",Other service activities_No. (000),Other industries_No. (000),Overall_No. (000)
12/2019 - 2/2020,9.3,94.8,250.9,70.4,333.8,23.6,290,265.2,293.3,19.6,135.9,220.6,73.2,158,408.4,122.3,234.6,236.9,56.1,479.9,24.4,3801.2
1/2020 - 3/2020,10.1,93.7,242.3,69.1,326.2,23.8,283.1,251.9,289.2,19,137.6,220.7,73.4,158.1,406.2,123.7,233.9,237.3,56.7,475.8,23.2,3754.8
2/2020 - 4/2020,10.5,95.4,238.6,70.3,313.9,20.6,275.6,234,278.7,20.9,137.7,220.4,73.5,157,404.3,124.8,232.1,239.2,52.3,471.9,23.9,3695.6
3/2020 - 5/2020,10.4,95.6,240,69.1,310.2,20.6,273.2,225.8,277.1,20.9,137,217.3,72.3,156.8,405.8,125.6,225.5,233.7,51.2,470,22.2,3660.3
4/2020 - 6/2020,10.8,98.6,237.2,68.5,307.5,18.9,273.6,237.2,273.9,20,138.5,213.1,70.1,157.7,399.8,125.3,230.9,237.2,50.7,469.8,22.7,3662
5/2020 - 7/2020,8.9,97.3,234.7,68.2,308.8,18.9,275.5,237.9,275.4,19.9,139.5,217.8,71.8,161.8,404.1,123.9,228.5,234.3,52.9,472.9,22.6,3675.5
6/2020 - 8/2020,8.6,95.5,229.9,69.2,307.8,20.9,275.3,234.3,278.2,20.2,136.6,218.8,70.6,160.9,406.1,125.3,228.2,237.5,53.3,467.7,23.2,3668
7/2020 - 9/2020,7.5,98,232.4,71.2,301.9,20.7,272.4,228.3,280.6,20,135,215.9,69.7,157.8,408.6,125.4,221.3,238.4,52.1,468.3,24,3649.4
8/2020 - 10/2020,6.6,97.5,234.1,70.4,301.7,19.1,272.1,233.7,278.1,19.7,135.1,217.5,68.8,157.3,406.4,125.8,220.1,236.9,51.6,467,23.5,3643
9/2020 - 11/2020,6.7,94.8,240.9,72.5,298.8,17.4,276,243,278,21.9,136,217.8,68.2,156.6,408.1,126.3,218.3,237.5,52.8,468.4,22.6,3662.7
10/2020 - 12/2020,6.7,95,241.9,73.4,298.9,16.9,271.7,237.3,275.5,23.1,136,217.3,67.6,157.8,409.1,127.9,219,237.7,52.8,468.3,23.1,3656.9
11/2020 - 1/2021,7.7,95.5,242.7,74.1,295.8,18.4,271.5,230.5,275.8,23.7,133.6,217.6,68.6,157.6,407.5,128.4,216.3,239.8,50.2,461.1,24,3640.4
12/2020 - 2/2021,7.2,94.9,240.4,69.5,292.9,17.2,269.8,230.9,274.8,22.4,133.6,217.7,70.6,155.8,408,131.7,217.5,237.2,50.3,454.7,24,3621.3
